pill,prescriptions_invoiced,prescriptions
Derivados de la benzodiazepina,85073065,"Benzodiazepines, sedative anxiolytics"
Inhibidores de la bomba de protones,75121395,Gastric acid reducer
Inhibidores de la HMG CoA reductasa,75001778,Cholesterol-lowering statins
Anilidas,74921323,Analgesic antipyretics: paracetamol and derivates
Sense especificar,55378864,Non specified
"Inhibidores de la ECA, monofarmacos",43418478,Blood pressure regulators
"Inhibidores de la agregacion plaquetaria, heparina excl.",40652567,Preventing blood clots: heparine and derivates
Inhibidores selectivos de la recaptacion de serotonina,37448966,Mood-enhancing antidepressants
Derivados del acido propionico,36192809,Anti-inflammatory analgesics
Agentes beta- bloqueantes selectivos,29995886,Heart rate reducers
